report_date,assigned_unid,fund_name,initial_investment_date,commitment,contributions,unfunded_commitment,current_market_value,distributions,total_value,tvpi,net_benefit,irr,strategy,,,,,,,,,,,,,,
3/31/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,1657500,298342500,0,0,0,0.000,-1657500,NA,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,1657500,298342500,0,0,0,0.000,-1657500,NA,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,34825410,265174590,20093668,0,20093668,0.600,-14731742,NA,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2013,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,38463892,272625752,19631243,11089644,30720887,0.800,-7743005,-0.44070,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,32778164,278654725,18356389,11707413,30063802,0.900,-2714362,-0.14680,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,32778164,278654725,28523037,11707413,40230450,1.200,7452286,0.32140,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,48195885,263237004,50387308,11707413,62094721,1.300,13898836,0.44310,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2014,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,77861428,233571461,83285159,11707413,94992572,1.200,17131144,0.36030,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,80600902,239570695,74084162,23119203,97203365,1.200,16602463,0.25860,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,94212517,230475891,120299455,27636015,147935470,1.600,53722953,0.60550,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,120628473,204059936,136998490,28130924,165129414,1.400,44500942,0.40080,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2015,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,120628473,204059936,148067116,28130924,176198040,1.500,55569568,0.39410,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,123367946,201320462,108479984,58978073,167458057,1.400,44090111,0.26930,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,142858484,196526695,121974427,73674844,195649271,1.400,52790787,0.27700,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,Mezzanine
9/30/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,160251781,179133398,140114517,75205005,215319522,1.300,55067741,0.25430,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2016,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,160251781,179133398,141431260,75205005,216636265,1.400,56384484,0.23080,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,173330249,166054930,172122520,75875502,247998022,1.400,74667773,0.26120,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,173085983,166299196,192461308,76850711,269312019,1.600,96226036,0.28830,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,176369921,163015258,215683537,78575075,294258612,1.700,117888691,0.30570,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2017,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,215588301,123796878,261486224,93918073,355404297,1.600,139815996,0.31630,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2018,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,235433686,103951493,265345602,93918073,359263675,1.500,123829989,0.26410,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2018,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,242045042,97340137,252895637,95245902,348141539,1.400,106096497,0.21430,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2018,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,245231980,94153199,243248205,96811957,340060162,1.400,94828182,0.17980,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2018,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,290500323,48884856,275132342,116434453,391566795,1.300,101066472,0.17400,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2019,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,290500323,48884856,278192961,116434453,394627414,1.400,104127091,0.16420,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
6/30/2019,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,295457551,51261500,254727489,160471180,415198669,1.400,119741118,0.17020,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2019,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,295457551,51261500,252802485,160471180,413273665,1.400,117816114,0.15770,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2019,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,299385474,50177488,178729393,259168528,437897921,1.500,138512447,0.16890,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
03/31/2020,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,301180831,49632414,134134859,266790295,400925154,1.300,99744323,0.12680,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
06/30/2020,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,301180831,49632414,150479512,266790295,417269807,1.400,116088976,0.13810,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
09/30/2020,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,304143594,46669651,162507176,267616471,430123647,1.400,125980052,0.14220,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
12/31/2020,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,304143594,46669651,168500532,267616471,436117003,1.400,131973408,0.14250,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
3/31/2021,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,305447065,45366180,169974258,279440419,449414677,1.500,143967612,0.14740,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
06/30/2021,0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.",3/22/2013,300000000,305447065,45366180,183100817,279440419,462541236,1.500,157094171,0.15210,Corporate Finance/Buyout - Mid,,,,,,,,,,,,,,
9/30/2013,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,21600000,128400000,20531285,0,20531285,1.000,-1068715,NA,Growth Equity,,,,,,,,,,,,,,
12/31/2013,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,42900000,107100000,41102837,0,41102837,1.000,-1797163,-0.06970,Growth Equity,,,,,,,,,,,,,,
3/31/2014,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,64350000,85650000,60407275,0,60407275,0.900,-3942725,-0.11310,Growth Equity,,,,,,,,,,,,,,
6/30/2014,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,100950000,49050000,98995957,0,98995957,1.000,-1954043,-0.04140,Growth Equity,,,,,,,,,,,,,,
9/30/2014,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,119550000,30450000,120967193,0,120967193,1.000,1417193,0.01930,Growth Equity,,,,,,,,,,,,,,
12/31/2014,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,127650000,22350000,134448360,0,134448360,1.100,6798360,0.06480,Growth Equity,,,,,,,,,,,,,,
3/31/2015,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,130650000,19350000,146866228,0,146866228,1.100,16216228,0.11710,Growth Equity,,,,,,,,,,,,,,
6/30/2015,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,135150000,15904378,159136061,1868255,161004316,1.200,25854316,0.14760,Growth Equity,,,,,,,,,,,,,,
9/30/2015,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,143100000,7954378,181195824,1868255,183064079,1.300,39964079,0.18470,Growth Equity,,,,,,,,,,,,,,
12/31/2015,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,143100000,7954378,178042229,1868255,179910484,1.300,36810484,0.14440,Growth Equity,,,,,,,,,,,,,,
3/31/2016,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,143100000,7954378,174926260,1868255,176794514,1.200,33694514,0.11510,Growth Equity,,,,,,,,,,,,,,
6/30/2016,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,147300000,6189374,176753754,4952885,181706639,1.200,34406639,0.10350,Growth Equity,,,,,,,,,,,,,,
9/30/2016,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,147300000,8174448,184446895,10349229,194796124,1.300,47496124,0.12480,Growth Equity,,,,,,,,,,,,,,
12/31/2016,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,150000000,5474448,183234035,10349229,193583264,1.300,43583264,0.10430,Growth Equity,,,,,,,,,,,,,,
3/31/2017,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,150000000,5474448,181178718,20094402,201273120,1.300,51273120,0.11080,Growth Equity,,,,,,,,,,,,,,
6/30/2017,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,150000000,5474448,189916348,20094402,210010750,1.400,60010750,0.11760,Growth Equity,,,,,,,,,,,,,,
9/30/2017,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,150000000,9856676,181362096,44952829,226314926,1.500,76314926,0.13450,Growth Equity,,,,,,,,,,,,,,
12/31/2017,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,150000000,9856676,187165313,44952829,232118143,1.500,82118143,0.13440,Growth Equity,,,,,,,,,,,,,,
3/31/2018,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,150000000,9856676,203963925,44952829,248916755,1.700,98916755,0.14800,Growth Equity,,,,,,,,,,,,,,
6/30/2018,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,3106676,224920328,44952829,269873158,1.700,113123158,0.15570,Growth Equity,,,,,,,,,,,,,,
9/30/2018,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,4562051,218357935,68480567,286838502,1.800,130088502,0.16460,Growth Equity,,,,,,,,,,,,,,
12/31/2018,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,4562051,218108496,68480567,286589062,1.800,129839062,0.15660,Growth Equity,,,,,,,,,,,,,,
3/31/2019,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,5386103,204458464,99680544,304139008,1.900,147389008,0.16520,Growth Equity,,,,,,,,,,,,,,
6/30/2019,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,5386103,149983215,162418589,312401803,2.000,155651803,0.16660,Growth Equity,,,,,,,,,,,,,,
9/30/2019,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,4512673,118111029,201045358,319156387,2.000,162406387,0.16740,Growth Equity,,,,,,,,,,,,,,
12/31/2019,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,4198331,151252014,201045358,352297372,2.200,195547372,0.18590,Growth Equity,,,,,,,,,,,,,,
03/31/2020,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,156750000,4198331,155268556,205288235,360556791,2.300,203806791,0.18700,Growth Equity,,,,,,,,,,,,,,
06/30/2020,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,157153905,4198331,182869407,217675842,400545249,2.500,243391344,0.20430,Growth Equity,,,,,,,,,,,,,,
09/30/2020,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,157153905,4198331,191104162,226156685,417260847,2.700,260106942,0.20810,Growth Equity,,,,,,,,,,,,,,
12/31/2020,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,158867069,2485167,168153380,284903013,453056393,2.900,294189324,0.21910,Growth Equity,,,,,,,,,,,,,,
3/31/2021,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,158867069,2485167,154195102,307295640,461490742,2.900,302623673,0.21940,Growth Equity,,,,,,,,,,,,,,
06/30/2021,0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.",7/10/2013,150000000,158867069,3071261,162357043,320712026,483069069,3.000,324201999,0.22430,Growth Equity,,,,,,,,,,,,,,
6/30/2018,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,39764913,500235087,36398075,0,36398075,0.900,-3366838,-0.08470,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
9/30/2018,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,106870816,433129184,101053637,0,101053637,0.900,-5817179,-0.08860,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2018,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,128279375,411720625,121983494,0,121983494,1.000,-6295881,-0.07250,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
3/31/2019,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,273029531,323881150,228266025,56910681,285176706,1.000,12147175,0.10080,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
6/30/2019,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,273029531,323881150,234148907,56910681,291059588,1.100,18030057,0.12040,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
9/30/2019,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,218598834,321541215,248895421,140049,249035470,1.100,30436636,0.14730,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2019,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,248179598,295792922,286714818,3972520,290687338,1.200,42507740,0.15770,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
03/31/2020,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,318997332,224975188,340076830,3972520,344049350,1.100,25052018,0.07250,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
06/30/2020,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,364110897,179861623,414067924,3972520,418040444,1.100,53929547,0.12190,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
09/30/2020,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,411259177,133335779,643956439,4594956,648551395,1.600,237292218,0.39570,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2020,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,439089565,93337284,681093233,4594956,685688189,1.600,246598624,0.33790,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
3/31/2021,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,487539586,82480468,726880956,87385904,814266860,1.700,326727274,0.36630,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
06/30/2021,0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.",6/12/2018,540000000,497889705,79297004,765925915,99329853,865255768,1.700,367366063,0.35200,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
09/30/2020,113dq3betpg2l4hhdnzf,"Sixth Street Opportunities Partners II, L.P.",10/9/2012,200000000,141251839,59379069,15553319,226709780,242263099,1.700,101011260,0.16500,Distressed Debt,,,,,,,,,,,,,,
12/31/2020,113dq3betpg2l4hhdnzf,"Sixth Street Opportunities Partners II, L.P.",10/9/2012,200000000,141251839,59379069,14860299,227645559,242505858,1.700,101254019,0.16470,Distressed Debt,,,,,,,,,,,,,,
3/31/2021,113dq3betpg2l4hhdnzf,"Sixth Street Opportunities Partners II, L.P.",10/9/2012,200000000,141251839,59379069,13805119,229236376,243041495,1.700,101789656,0.16470,Distressed Debt,,,,,,,,,,,,,,
06/30/2021,113dq3betpg2l4hhdnzf,"Sixth Street Opportunities Partners II, L.P.",10/9/2012,200000000,141251839,59379069,11796421,231422365,243218786,1.700,101966947,0.16440,Distressed Debt,,,,,,,,,,,,,,
12/31/2019,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,0,200000000,-733855,0,-733855,NA,-733855,NA,Growth Equity,,,,,,,,,,,,,,
03/31/2020,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,30000000,170000000,27592889,0,27592889,0.900,-2407111,-0.08020,Growth Equity,,,,,,,,,,,,,,
06/30/2020,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,30000000,170000000,33205058,0,33205058,1.100,3205058,0.10680,Growth Equity,,,,,,,,,,,,,,
09/30/2020,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,56000000,144000000,66914493,19238,66933730,1.200,10933730,0.32450,Growth Equity,,,,,,,,,,,,,,
12/31/2020,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,96400000,103600000,123044621,19238,123063859,1.300,26663859,0.64520,Growth Equity,,,,,,,,,,,,,,
3/31/2021,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,120400000,79600000,184667713,19238,184686950,1.500,64286950,1.21370,Growth Equity,,,,,,,,,,,,,,
06/30/2021,12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.",3/25/2020,200000000,159000000,41000000,250799157,19238,250818395,1.600,91818395,0.99880,Growth Equity,,,,,,,,,,,,,,
12/31/2020,14f1f2egxqjhydex1i2w,"Endeavour Capital Fund V, L.P. - Secondary Purchase",12/31/2020,7686196,148465,9350,326549,0,326549,2.200,178084,NA,Corporate Finance/Buyout - Small,,,,,,,,,,,,,,
3/31/2021,14f1f2egxqjhydex1i2w,"Endeavour Capital Fund V, L.P. - Secondary Purchase",12/31/2020,7686196,148465,9350,307418,0,307418,2.100,158953,1.07060,Corporate Finance/Buyout - Small,,,,,,,,,,,,,,
06/30/2021,14f1f2egxqjhydex1i2w,"Endeavour Capital Fund V, L.P. - Secondary Purchase",12/31/2020,7686196,148465,9350,305996,0,305996,2.100,157531,1.06110,Corporate Finance/Buyout - Small,,,,,,,,,,,,,,
9/30/2017,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,0,500000000,0,0,0,NA,0,NA,Corporate Finance/Buyout - Large,,,,,,,,,,,,,,
12/31/2017,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,0,500000000,0,0,0,NA,0,NA,Corporate Finance/Buyout - Large,,,,,,,,,,,,,,
3/31/2018,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,35106769,464893231,27556914,0,27556914,0.800,-7549855,-0.21510,Corporate Finance/Buyout - Large,,,,,,,,,,,,,,
6/30/2018,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,35106769,464893231,26366551,0,26366551,0.800,-8740218,-0.24900,Corporate Finance/Buyout - Large,,,,,,,,,,,,,,
9/30/2018,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,70646435,429353565,76184756,0,76184756,1.100,5538321,0.13450,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2018,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,87504620,412495380,97013901,0,97013901,1.100,9509281,0.18380,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
3/31/2019,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,130810994,369189006,152778666,0,152778666,1.200,21967672,0.29330,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
6/30/2019,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,179048148,327520032,233901172,0,233901172,1.300,54853024,0.48180,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
9/30/2019,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,223633964,282934216,295794631,0,295794631,1.300,72160667,0.43820,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2019,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,240912212,277956636,294856286,24248674,319104960,1.300,78192748,0.34530,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
03/31/2020,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,245542695,273326153,264483221,49365258,313848479,1.300,68305784,0.24160,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
06/30/2020,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,297257597,233848246,317986343,63444519,381430862,1.300,84173265,0.24340,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
09/30/2020,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,324704585,206401258,365110509,63700583,428811092,1.300,104106507,0.24490,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2020,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,357014934,175847582,452437767,64973628,517411395,1.400,160396461,0.30410,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
3/31/2021,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,365307991,167662626,516585738,64973628,581559366,1.600,216251375,0.33740,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
06/30/2021,1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.",2/12/2018,500000000,382702024,152890696,557793216,86740245,644533461,1.700,261831437,0.34470,Corporate Finance/Buyout - Mega,,,,,,,,,,,,,,
12/31/2018,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,0,750000000,0,0,0,NA,0,NA,Growth Equity,,,,,,,,,,,,,,
3/31/2019,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,9000000,741000000,6585842,484932,7070774,0.800,-1929227,NA,Growth Equity,,,,,,,,,,,,,,
6/30/2019,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,9000000,741000000,3371278,1234932,4606210,0.500,-4393791,-0.56200,Growth Equity,,,,,,,,,,,,,,
9/30/2019,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,45375000,704625000,35533014,1984932,37517946,0.800,-7857055,-0.36540,Growth Equity,,,,,,,,,,,,,,
12/31/2019,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,120375000,629625000,109716304,2734932,112451236,0.900,-7923765,-0.18750,Growth Equity,,,,,,,,,,,,,,
03/31/2020,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,141750000,608250000,130185199,3484932,133670131,0.900,-8079870,-0.13000,Growth Equity,,,,,,,,,,,,,,
06/30/2020,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,171750000,578250000,158767349,4234932,163002281,0.900,-8747720,-0.09030,Growth Equity,,,,,,,,,,,,,,
09/30/2020,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,227250000,522750000,224530567,4984932,229515499,1.000,2265499,0.01590,Growth Equity,,,,,,,,,,,,,,
12/31/2020,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,339000000,411000000,353245551,5734932,358980483,1.100,19980483,0.09490,Growth Equity,,,,,,,,,,,,,,
3/31/2021,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,370125000,379875000,414233205,11905808,426139013,1.200,56014013,0.18690,Growth Equity,,,,,,,,,,,,,,
06/30/2021,1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.",3/26/2019,750000000,507750000,242250000,603168631,12655751,615824382,1.200,108074382,0.26330,Growth Equity,,,,,,,,,,,,,,
9/30/2016,1hrol9krxp6xqlgyu94a,"Permira VI, L.P.",1/11/2017,359126873,0,359126873,0,0,0,NA,0,NA,Corporate Finance/Buyout - Large,,,,,,,,,,,,,,
12/31/2016,1hrol9krxp6xqlgyu94a,"Permira VI, L.P.",1/11/2017,337161522,0,337161522,0,0,0,NA,0,NA,Corporate Finance/Buyout - Large,,,,,,,,,,,,,,
